,ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours
0,1,0,3,5,3,235,11,14,37,244.387,98,True,3,1,False,False,1,88,172,29,0
1,1,18,11,4,4,235,11,14,37,284.031,97,False,3,1,False,False,1,88,172,29,1
2,1,25,11,5,4,235,11,14,37,284.031,97,False,3,1,False,False,1,88,172,29,2
3,1,13,1,3,2,235,11,14,37,330.061,100,False,3,1,False,False,1,88,172,29,1
4,1,25,12,5,4,235,11,14,37,236.629,93,False,3,1,False,False,1,88,172,29,2
5,1,26,10,2,4,235,11,14,37,265.017,88,False,3,1,False,False,1,88,172,29,4
6,1,11,7,3,1,235,11,14,37,264.604,93,False,3,1,False,False,1,88,172,29,4
7,1,23,8,3,1,235,11,14,37,249.797,93,False,3,1,False,False,1,88,172,29,4
8,1,19,8,5,1,235,11,14,37,265.615,94,False,3,1,False,False,1,88,172,29,8
9,1,23,8,5,1,235,11,14,37,205.917,92,False,3,1,False,False,1,88,172,29,4
10,1,22,5,2,3,235,11,14,37,237.656,99,False,3,1,False,False,1,88,172,29,8
11,1,22,4,6,3,235,11,14,37,246.288,91,False,3,1,False,False,1,88,172,29,8
12,1,14,12,3,2,235,11,14,37,236.629,93,False,3,1,False,False,1,88,172,29,4
13,1,22,3,2,2,235,11,14,37,244.387,98,False,3,1,False,False,1,88,172,29,8
14,1,7,4,6,3,235,11,14,37,326.452,96,False,3,1,False,False,1,88,172,29,3
15,1,1,5,2,3,235,11,14,37,246.074,99,False,3,1,False,False,1,88,172,29,8
16,1,26,12,4,4,235,11,14,37,261.306,97,False,3,1,False,False,1,88,172,29,8
17,1,23,8,3,1,235,11,14,37,265.615,94,False,3,1,False,False,1,88,172,29,1
18,1,13,6,3,1,235,11,14,37,253.957,95,False,3,1,False,False,1,88,172,29,8
19,1,21,3,5,2,235,11,14,37,244.387,98,False,3,1,False,False,1,88,172,29,8
20,1,23,12,2,4,235,11,14,37,236.629,93,False,3,1,False,False,1,88,172,29,3
21,1,22,7,2,1,235,11,14,37,239.554,97,False,3,1,False,False,1,88,172,29,8
22,1,13,6,6,3,235,11,14,37,377.55,94,False,3,1,False,False,1,88,172,29,16
23,2,18,8,2,1,235,29,12,48,205.917,92,False,1,1,False,True,5,88,163,33,8
24,2,0,6,2,3,235,29,12,48,275.089,96,True,1,1,False,True,5,88,163,33,0
25,2,23,7,2,1,235,29,12,48,230.29,92,False,1,1,False,True,5,88,163,33,1
26,2,18,8,5,1,235,29,12,48,205.917,92,False,1,1,False,True,5,88,163,33,8
27,2,28,8,6,1,235,29,12,48,205.917,92,False,1,1,False,True,5,88,163,33,8
28,2,0,4,2,3,235,29,12,48,326.452,96,True,1,1,False,True,5,88,163,33,0
29,3,28,12,6,4,179,51,18,38,236.629,93,False,1,0,True,False,0,89,170,31,1
30,3,23,11,5,4,179,51,18,38,284.031,97,False,1,0,True,False,0,89,170,31,1
31,3,27,1,5,2,179,51,18,38,313.532,96,False,1,0,True,False,0,89,170,31,3
32,3,25,8,5,1,179,51,18,38,249.797,93,False,1,0,True,False,0,89,170,31,4
33,3,28,3,2,2,179,51,18,38,244.387,98,False,1,0,True,False,0,89,170,31,2
34,3,27,2,2,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,2
35,3,28,12,2,4,179,51,18,38,236.629,93,False,1,0,True,False,0,89,170,31,2
36,3,28,7,3,1,179,51,18,38,230.29,92,False,1,0,True,False,0,89,170,31,1
37,3,11,2,4,2,179,51,18,38,302.585,99,False,1,0,True,False,0,89,170,31,8
38,3,28,1,4,2,179,51,18,38,330.061,100,False,1,0,True,False,0,89,170,31,1
39,3,28,1,6,2,179,51,18,38,330.061,100,False,1,0,True,False,0,89,170,31,1
40,3,23,9,6,4,179,51,18,38,241.476,92,False,1,0,True,False,0,89,170,31,3
41,3,23,9,4,4,179,51,18,38,241.476,92,False,1,0,True,False,0,89,170,31,3
42,3,23,10,6,4,179,51,18,38,253.465,93,False,1,0,True,False,0,89,170,31,3
43,3,23,10,3,4,179,51,18,38,253.465,93,False,1,0,True,False,0,89,170,31,3
44,3,10,3,2,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,4
45,3,23,9,3,1,179,51,18,38,241.476,92,False,1,0,True,False,0,89,170,31,3
46,3,23,9,2,1,179,51,18,38,261.756,87,False,1,0,True,False,0,89,170,31,4
47,3,25,8,2,1,179,51,18,38,249.797,93,False,1,0,True,False,0,89,170,31,4
48,3,28,6,2,3,179,51,18,38,253.957,95,False,1,0,True,False,0,89,170,31,4
49,3,28,5,4,3,179,51,18,38,246.074,99,False,1,0,True,False,0,89,170,31,4
50,3,28,4,2,3,179,51,18,38,239.409,98,False,1,0,True,False,0,89,170,31,4
51,3,28,4,4,3,179,51,18,38,239.409,98,False,1,0,True,False,0,89,170,31,4
52,3,11,9,2,1,179,51,18,38,294.217,81,False,1,0,True,False,0,89,170,31,8
54,3,28,12,2,4,179,51,18,38,236.629,93,False,1,0,True,False,0,89,170,31,1
55,3,28,12,5,4,179,51,18,38,236.629,93,False,1,0,True,False,0,89,170,31,1
56,3,27,2,6,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,3
57,3,28,6,2,3,179,51,18,38,253.957,95,False,1,0,True,False,0,89,170,31,3
58,3,27,1,4,2,179,51,18,38,313.532,96,False,1,0,True,False,0,89,170,31,3
59,3,28,10,4,4,179,51,18,38,284.853,91,False,1,0,True,False,0,89,170,31,3
60,3,27,2,4,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,3
61,3,28,11,3,4,179,51,18,38,284.031,97,False,1,0,True,False,0,89,170,31,1
62,3,28,10,4,4,179,51,18,38,265.017,88,False,1,0,True,False,0,89,170,31,1
63,3,0,6,6,3,179,51,18,38,253.957,95,True,1,0,True,False,0,89,170,31,0
64,3,11,6,6,3,179,51,18,38,377.55,94,False,1,0,True,False,0,89,170,31,2
65,3,28,6,2,1,179,51,18,38,253.957,95,False,1,0,True,False,0,89,170,31,2
66,3,23,9,3,1,179,51,18,38,241.476,92,False,1,0,True,False,0,89,170,31,4
67,3,23,7,4,1,179,51,18,38,239.554,97,False,1,0,True,False,0,89,170,31,4
68,3,13,3,3,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,8
69,3,13,9,4,1,179,51,18,38,294.217,81,False,1,0,True,False,0,89,170,31,8
70,3,13,9,2,4,179,51,18,38,294.217,81,False,1,0,True,False,0,89,170,31,8
71,3,6,11,3,4,179,51,18,38,284.031,97,False,1,0,True,False,0,89,170,31,8
72,3,26,7,5,1,179,51,18,38,275.312,98,False,1,0,True,False,0,89,170,31,8
73,3,11,6,2,3,179,51,18,38,377.55,94,False,1,0,True,False,0,89,170,31,8
74,3,18,5,3,3,179,51,18,38,378.884,92,False,1,0,True,False,0,89,170,31,8
75,3,27,2,4,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,2
76,3,27,2,3,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,2
77,3,27,1,6,2,179,51,18,38,313.532,96,False,1,0,True,False,0,89,170,31,2
78,3,27,2,5,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,2
80,3,13,2,5,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,8
81,3,13,2,3,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,8
82,3,27,3,4,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,2
84,3,27,3,2,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,2
85,3,10,2,5,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,8
86,3,23,11,5,4,179,51,18,38,306.345,93,False,1,0,True,False,0,89,170,31,1
87,3,12,5,3,3,179,51,18,38,378.884,92,False,1,0,True,False,0,89,170,31,1
88,3,28,4,4,3,179,51,18,38,239.409,98,False,1,0,True,False,0,89,170,31,8
89,3,28,3,6,3,179,51,18,38,244.387,98,False,1,0,True,False,0,89,170,31,8
91,3,27,2,6,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,2
92,3,27,2,2,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,2
96,3,28,11,5,4,179,51,18,38,284.031,97,False,1,0,True,False,0,89,170,31,3
97,3,23,9,6,1,179,51,18,38,294.217,81,False,1,0,True,False,0,89,170,31,3
99,3,13,3,4,3,179,51,18,38,343.253,95,False,1,0,True,False,0,89,170,31,3
100,3,27,3,3,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,2
101,3,11,5,3,3,179,51,18,38,378.884,92,False,1,0,True,False,0,89,170,31,1
102,3,28,12,2,2,179,51,18,38,236.629,93,False,1,0,True,False,0,89,170,31,3
104,3,23,7,6,1,179,51,18,38,239.554,97,False,1,0,True,False,0,89,170,31,2
105,3,23,8,6,1,179,51,18,38,205.917,92,False,1,0,True,False,0,89,170,31,2
106,3,23,2,6,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,3
109,3,27,2,2,2,179,51,18,38,251.818,96,False,1,0,True,False,0,89,170,31,3
110,3,23,7,4,1,179,51,18,38,239.554,97,False,1,0,True,False,0,89,170,31,2
112,3,11,8,2,1,179,51,18,38,205.917,92,False,1,0,True,False,0,89,170,31,1
113,3,11,7,4,1,179,51,18,38,239.554,97,False,1,0,True,False,0,89,170,31,1
114,3,27,2,6,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,3
115,3,27,2,5,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,3
116,3,27,2,4,2,179,51,18,38,264.249,97,False,1,0,True,False,0,89,170,31,3
117,3,23,8,2,1,179,51,18,38,205.917,92,False,1,0,True,False,0,89,170,31,2
118,3,18,8,2,1,179,51,18,38,205.917,92,False,1,0,True,False,0,89,170,31,8
119,3,21,7,2,1,179,51,18,38,239.554,97,False,1,0,True,False,0,89,170,31,8
120,3,23,10,4,4,179,51,18,38,253.465,93,False,1,0,True,False,0,89,170,31,8
121,3,5,6,4,1,179,51,18,38,253.957,95,False,1,0,True,False,0,89,170,31,8
122,3,13,11,5,4,179,51,18,38,306.345,93,False,1,0,True,False,0,89,170,31,8
123,3,23,9,5,1,179,51,18,38,294.217,81,False,1,0,True,False,0,89,170,31,1
124,3,27,3,5,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
127,3,28,6,2,3,179,51,18,38,253.957,95,False,1,0,True,False,0,89,170,31,24
129,3,27,3,2,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
131,3,27,3,6,2,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
132,3,27,3,5,3,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
133,3,27,3,4,3,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
134,3,28,3,2,2,179,51,18,38,244.387,98,False,1,0,True,False,0,89,170,31,16
135,3,27,3,3,3,179,51,18,38,222.196,99,False,1,0,True,False,0,89,170,31,3
136,3,13,12,3,4,179,51,18,38,280.549,98,False,1,0,True,False,0,89,170,31,32
137,3,21,11,3,4,179,51,18,38,268.519,93,False,1,0,True,False,0,89,170,31,1
138,3,28,11,6,4,179,51,18,38,268.519,93,False,1,0,True,False,0,89,170,31,1
139,3,28,11,2,4,179,51,18,38,268.519,93,False,1,0,True,False,0,89,170,31,1
140,3,13,4,4,3,179,51,18,38,326.452,96,False,1,0,True,False,0,89,170,31,24
141,3,13,3,3,2,179,51,18,38,343.253,95,False,1,0,True,False,0,89,170,31,24
142,4,0,0,3,1,118,14,13,40,271.219,95,False,1,1,True,False,8,98,170,34,0
143,5,0,9,5,1,235,20,13,43,294.217,81,True,1,1,True,False,0,106,167,38,0
144,5,0,9,5,4,235,20,13,43,294.217,81,True,1,1,True,False,0,106,167,38,0
145,5,13,5,2,3,235,20,13,43,246.074,99,False,1,1,True,False,0,106,167,38,16
146,5,0,10,4,4,235,20,13,43,265.017,88,True,1,1,True,False,0,106,167,38,0
147,5,19,9,3,1,235,20,13,43,241.476,92,False,1,1,True,False,0,106,167,38,8
148,5,26,1,2,2,235,20,13,43,330.061,100,False,1,1,True,False,0,106,167,38,8
149,5,26,7,2,1,235,20,13,43,230.29,92,False,1,1,True,False,0,106,167,38,8
150,5,26,6,3,3,235,20,13,43,253.957,95,False,1,1,True,False,0,106,167,38,8
151,5,13,12,3,2,235,20,13,43,236.629,93,False,1,1,True,False,0,106,167,38,8
152,5,26,9,4,4,235,20,13,43,294.217,81,False,1,1,True,False,0,106,167,38,8
153,5,26,11,2,4,235,20,13,43,284.031,97,False,1,1,True,False,0,106,167,38,8
154,5,26,5,4,3,235,20,13,43,237.656,99,False,1,1,True,False,0,106,167,38,8
155,5,23,10,2,4,235,20,13,43,265.017,88,False,1,1,True,False,0,106,167,38,2
157,5,26,8,3,1,235,20,13,43,249.797,93,False,1,1,True,False,0,106,167,38,8
158,5,26,12,6,4,235,20,13,43,280.549,98,False,1,1,True,False,0,106,167,38,8
159,5,0,10,6,4,235,20,13,43,265.017,88,True,1,1,True,False,0,106,167,38,0
160,5,0,11,5,4,235,20,13,43,268.519,93,True,1,1,True,False,0,106,167,38,0
161,5,26,7,4,1,235,20,13,43,264.604,93,False,1,1,True,False,0,106,167,38,4
162,6,23,10,2,4,189,29,13,33,284.853,91,False,1,2,False,False,2,69,167,25,8
163,6,22,7,3,1,189,29,13,33,264.604,93,False,1,2,False,False,2,69,167,25,16
164,6,22,11,2,4,189,29,13,33,306.345,93,False,1,2,False,False,2,69,167,25,8
165,6,22,2,2,2,189,29,13,33,251.818,96,False,1,2,False,False,2,69,167,25,8
166,6,11,7,5,1,189,29,13,33,239.554,97,False,1,2,False,False,2,69,167,25,8
167,6,23,2,5,2,189,29,13,33,302.585,99,False,1,2,False,False,2,69,167,25,8
168,6,19,2,5,2,189,29,13,33,302.585,99,False,1,2,False,False,2,69,167,25,8
169,6,13,4,5,3,189,29,13,33,246.288,91,False,1,2,False,False,2,69,167,25,8
170,7,14,3,2,2,279,5,14,39,343.253,95,False,1,2,True,True,0,68,168,24,8
171,7,0,5,4,3,279,5,14,39,378.884,92,True,1,2,True,True,0,68,168,24,0
172,7,14,3,5,3,279,5,14,39,343.253,95,False,1,2,True,True,0,68,168,24,16
173,7,7,7,5,1,279,5,14,39,239.554,97,False,1,2,True,True,0,68,168,24,4
174,7,23,7,5,1,279,5,14,39,230.29,92,False,1,2,True,True,0,68,168,24,2
175,7,0,11,3,4,279,5,14,39,284.031,97,True,1,2,True,True,0,68,168,24,0
176,8,0,9,3,1,231,35,14,39,294.217,81,True,1,2,True,False,2,100,170,35,0
177,8,0,0,4,2,231,35,14,39,271.219,95,False,1,2,True,False,2,100,170,35,0
178,9,18,8,3,1,228,14,16,58,265.615,94,False,1,2,False,False,1,65,172,22,8
179,9,6,7,2,1,228,14,16,58,264.604,93,False,1,2,False,False,1,65,172,22,8
180,9,25,3,4,2,228,14,16,58,222.196,99,False,1,2,False,False,1,65,172,22,2
181,9,25,3,3,2,228,14,16,58,222.196,99,False,1,2,False,False,1,65,172,22,3
182,9,1,10,4,4,228,14,16,58,284.853,91,False,1,2,False,False,1,65,172,22,1
183,9,6,7,3,1,228,14,16,58,264.604,93,False,1,2,False,False,1,65,172,22,120
184,9,12,3,3,2,228,14,16,58,222.196,99,False,1,2,False,False,1,65,172,22,112
185,9,18,5,4,3,228,14,16,58,246.074,99,False,1,2,False,False,1,65,172,22,8
186,10,22,7,6,1,361,52,3,28,230.29,92,False,1,1,True,False,4,80,172,27,8
187,10,22,11,3,4,361,52,3,28,268.519,93,False,1,1,True,False,4,80,172,27,8
188,10,22,9,3,4,361,52,3,28,261.756,87,False,1,1,True,False,4,80,172,27,8
189,10,25,8,2,1,361,52,3,28,205.917,92,False,1,1,True,False,4,80,172,27,7
190,10,7,5,2,3,361,52,3,28,237.656,99,False,1,1,True,False,4,80,172,27,8
191,10,22,7,6,1,361,52,3,28,239.554,97,False,1,1,True,False,4,80,172,27,8
192,10,22,12,4,4,361,52,3,28,261.306,97,False,1,1,True,False,4,80,172,27,8
194,10,23,4,3,3,361,52,3,28,246.288,91,False,1,1,True,False,4,80,172,27,2
195,10,23,8,2,1,361,52,3,28,205.917,92,False,1,1,True,False,4,80,172,27,1
196,10,22,3,4,2,361,52,3,28,244.387,98,False,1,1,True,False,4,80,172,27,8
197,10,23,10,6,4,361,52,3,28,253.465,93,False,1,1,True,False,4,80,172,27,1
198,10,23,5,5,3,361,52,3,28,246.074,99,False,1,1,True,False,4,80,172,27,1
199,10,22,5,6,3,361,52,3,28,378.884,92,False,1,1,True,False,4,80,172,27,8
200,10,8,8,3,1,361,52,3,28,265.615,94,False,1,1,True,False,4,80,172,27,8
201,10,22,7,3,1,361,52,3,28,275.312,98,False,1,1,True,False,4,80,172,27,8
202,10,22,7,4,1,361,52,3,28,264.604,93,False,1,1,True,False,4,80,172,27,8
