id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,Clase de edad,Perfil,month_num,date,weekday
1,59.0,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes,55-64,Gen Z & Boomers,5,2008-05-05,Monday
2,56.0,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes,55-64,Gen Z & Boomers,5,2008-05-05,Monday
3,41.0,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-05,Monday
4,55.0,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes,55-64,Gen Z & Boomers,5,2008-05-05,Monday
5,54.0,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes,45-54,Divorciadxs,5,2008-05-05,Monday
6,42.0,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-05,Monday
7,56.0,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,1,-1,0,unknown,yes,55-64,Gen Z & Boomers,5,2008-05-06,Tuesday
8,60.0,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,-1,0,unknown,yes,55-64,Gen Z & Boomers,5,2008-05-06,Tuesday
9,37.0,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-06,Tuesday
10,28.0,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes,25-34,Millenials,5,2008-05-06,Tuesday
11,38.0,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-07,Wednesday
12,30.0,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes,25-34,Millenials,5,2008-05-07,Wednesday
13,29.0,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,4,-1,0,unknown,yes,25-34,Millenials,5,2008-05-07,Wednesday
14,46.0,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,2,-1,0,unknown,yes,45-54,Divorciadxs,5,2008-05-07,Wednesday
15,31.0,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,2,-1,0,unknown,yes,25-34,Millenials,5,2008-05-08,Thursday
16,35.0,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,1,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
17,32.0,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,3,-1,0,unknown,yes,25-34,Millenials,5,2008-05-08,Thursday
18,49.0,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes,45-54,Divorciadxs,5,2008-05-08,Thursday
19,41.0,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
20,49.0,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,1,-1,0,unknown,yes,45-54,Divorciadxs,5,2008-05-08,Thursday
21,28.0,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,2,-1,0,unknown,yes,25-34,Millenials,5,2008-05-08,Thursday
22,43.0,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,1,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
23,43.0,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
24,43.0,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
25,37.0,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,2,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-08,Thursday
26,35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,4,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-09,Friday
27,31.0,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,3,-1,0,unknown,yes,25-34,Millenials,5,2008-05-09,Friday
28,43.0,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,3,-1,0,unknown,yes,35-44,Adultxs,5,2008-05-09,Friday
29,31.0,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,1,-1,0,unknown,yes,25-34,Millenials,5,2008-05-09,Friday
